1900-01-01 04:00:00
0 15 9.49797456465
1 15 0
0 17 0
1 17 0
0 18 0
1 18 0
0 32 4.37760113331
1 32 0
0 34 0
1 34 0
0 69 7.67208501089
1 69 6.57606230745
0 71 0
1 71 10.1994544832
0 90 0
1 90 5.30842571162
0 125 0
1 125 25.5240724084
0 155 6.68559644649
1 155 14.5368893211
0 176 9.01820659666
1 176 8.53996908553
0 209 4.05316818276
1 209 17.6303764232
0 245 22.2330227602
1 245 8.78542990202
0 281 0
1 281 10.9624952913
0 293 2.65503784025
1 293 3.89627748595
0 306 9.48284093252
1 306 6.31373548027
0 318 10.179622084
1 318 8.30216233953
0 330 0
1 330 13.7040052899
0 349 0
1 349 10.619861414
0 376 11.8603267988
1 376 23.48311052
0 380 10.9990902265
1 380 10.9576207796
0 386 12.1167660196
1 386 23.2109924146
0 401 0
1 401 5.9280948294
0 414 18.0766230034
1 414 8.35249540074
0 420 0
1 420 5.39833885331
0 431 0
1 431 9.74128006519
0 435 5.65625055926
1 435 11.5466115897
0 439 17.9910953089
1 439 11.3173771721
0 447 10.2050565288
1 447 6.0756396005
0 455 10.2178635602
1 455 4.49649391654
0 460 8.34455230908
1 460 3.4981497611
0 471 9.58683545477
1 471 9.51100563532
0 488 16.2332835332
1 488 6.48857937468
0 491 6.67834382681
1 491 0
0 494 0
1 494 0
0 498 0
1 498 2.43040532916
0 505 15.9697119519
1 505 7.99827044716
0 515 8.11480598619
1 515 5.72035031384
0 532 5.45284003815
1 532 5.25985062396
0 533 5.12440119645
1 533 0
0 535 11.0567528497
1 535 0
0 536 0
1 536 6.36488084683
0 559 9.22987484676
1 559 5.57367984869
0 568 19.2397370955
1 568 2.95310092854
0 569 6.1431714061
1 569 0
0 571 0
1 571 0
0 606 10.4133262004
1 606 12.4189704819
0 608 6.99720266543
1 608 0
0 610 3.42430245838
1 610 0
0 619 0
1 619 4.06115284113
0 623 6.28032013154
1 623 8.01278769038
0 642 2.89174725451
1 642 6.75437640135
0 655 4.09880009958
1 655 17.3950428746
0 655 0
1 655 0
0 685 0.740802328065
1 685 0
0 686 0
1 686 0
0 696 4.45484561253
1 696 3.58708194102

